id,name,url
US,"St. Francis College, Brooklyn Heights",http://www.stfranciscollege.edu/
NG,The Federal Polytechnic Offa,http://www.fedpoffa.edu.ng/
HU,University of Pecs,http://www.pte.hu/
AZ,Khazar University,http://www.khazar.org/
AO,Universidade Tecnica de Angola,http://www.utanga.co.ao/
US,Manchester College,http://www.manchester.edu/
BG,University of Plovdiv,http://www.uni-plovdiv.bg/
US,Culver-Stockton College,http://www.culver.edu/
CZ,Brno University of Technology,http://www.vutbr.cz/
FR,Ecole Superieur d'Ingenieurs Leonard de Vinci,http://www.devinci.fr/
GH,Cape Coast Polytechnic ,http://www.cpoly.edu.gh/
DE,Universität Passau,http://www.uni-passau.de/
IN,Rajasthan Vidyapeeth University,http://www.jrnrvu.org/
TR,Suleyman Demirel University,http://www.sdu.edu.tr/
IR,Ahwaz Jondishapour University of Medical Sciences,http://www.ajums.ac.ir/
RU,Ural State Academy of Architecture and Arts,http://www.usaaa.ru/
RU,Voronezh State Agricultural University,http://www.vsau.ru/
IN,Karnataka State Law University,http://www.kslu.ac.in/
TW,Fu Jen Catholic University,http://www.fju.edu.tw/
BD,Noakhali University of Science and Technology,http://www.nstu.edu.bd/
TW,Kung Shan Institute of Technology,http://www.ksit.edu.tw/
RU,Tomsk Polytechnic University,http://www.tpu.ru/
BR,Universidade Federal de Pelotas,http://www.ufpel.tche.br/
PL,Technical University of Radom,http://www.man.radom.pl/
CN,Northeast Normal University,http://www.nenu.edu.cn/
PE,Universidad Privada de Tacna,http://www.upt.edu.pe/
PR,Sistema Universitario Ana G. Méndez,http://www.suagm.edu/
IL,Weizmann Institute of Science,http://www.weizmann.ac.il/
PE,Universidad Nacional del Callao,http://www.unac.edu.pe/
RU,Nevsky Institute of Language and Culture,http://www.nilc.spb.ru/
PK,University of Engineering and Technology Lahore,http://www.uet.edu/
JP,Osaka Medical College,http://www.osaka-med.ac.jp/
FR,Ecole Supérieure de Commerce de Lille,http://www.esc-lille.fr/
DZ,Université Dr Tahar Moulay,http://www.univ-saida.dz/
ET,Adigrat University,http://www.adu.edu.et/
US,Vassar College,http://www.vassar.edu/
CN,Nanjing University of Posts and Telecommunications,http://www.njupt.edu.cn/
DE,Universität des Saarlandes,http://www.uni-saarland.de/
US,University of South Florida,http://www.usf.edu/
US,University of Texas at Dallas,http://www.utdallas.edu/
KG,Kyrgyz National University,http://www.university.kg/
FR,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,http://www.ensica.fr/
GB,Newport International University,http://www.niu.org.uk/
JP,Kanto Gakuen University,http://www.kanto-gakuen.ac.jp/
SD,Blue Nile University,http://www.bnu.edu.sd/
US,"CollegeAmerica, Denver",http://www.collegeamerica.edu/
IE,Warnborough University,http://www.warnborough.edu/
GB,Brunel University Uxbridge,http://www.brunel.ac.uk/
US,Rocky Mountain College of Art and Design,http://www.rmcad.edu/
GB,Stratford College London,http://www.sclondon.ac/
YE,Sana'a University,http://www.su.edu.ye/
AU,University of Melbourne,http://www.unimelb.edu.au/
JP,Aichi University,http://www.aichi-u.ac.jp/
GB,Leeds Metropolitan University,http://www.lmu.ac.uk/
CA,University of Regina,http://www.uregina.ca/
CN,Anhui Normal University,http://www.ahnu.edu.cn/
SY,International University for Science & Technology ,http://www.iust.edu.sy/
CA,Sheridan College,http://www.sheridanc.on.ca/
PE,Universidad Nacional de Santa - Chimbote,http://www.uns.edu.pe/
US,Southern College of Optometry,http://www.sco.edu/
BR,Universidade Federal de Mato Grosso do Sul,http://www.ufms.br/
RU,East-Siberian State University of Technology,http://www.esstu.ru/
IN,Karpagam University,http://www.karpagamuniv.com/
FR,Ecole Nationale Supérieure de Chimie de Rennes,http://www.ensc-rennes.fr/
CA,Northern Alberta Institute of Technology,http://www.nait.ca/
US,Arkansas State University,http://www.astate.edu/
US,"Concordia College, Bronxville",http://www.concordia-ny.edu/
VN,Tay Nguyen University,http://www.taynguyenuni.edu.vn/
MY,"Curtin University of Technology, Sarawak Campus",http://www.curtin.edu.my/
US,"Concordia College, Selma",http://higher-ed.lcms.org/selma.htm
