key,New_ID
ciise/RicciardiLS16,504
iclr/Mordatch18,505
ssdbm/Brinkhoff00,506
issac/AbramovB01,507
jcis/Khuwaja02,508
semwiki/SchaffertEGKRSS09,509
ssdbm/ChiuHKA11,510
issac/EderPP17,511
ssdbm/IshikawaMK06,512
iiswc/WenischFAFM08,513
jcis/HwangLS06,514
issac/JohnsonX07,515
ntms/NguyenL08,516
ntms/BouyakoubB08,517
iclr/NogueiraBC19,518
issac/LiGID97,519
jcis/HsiungC06,520
ssdbm/CaryWR10,521
nsdi/LiuPSGSS13,522
camad/VermeulenRLVP15,523
issac/InoueS07,524
ciise/CalioGP16,525
mfi/FanZLM16a,526
weis/WangK09,527
mfi/WangZHLC14,528
ssdbm/ChanEGHKMMOSW83,529
iclr/VuongZR19,530
camad/RomanousBIR15,531
jcis/Lee06c,532
ntms/TerauraS15,533
iclr/XiaoLY18,534
issac/FrandsenS04,535
issac/Din08,536
ntms/NakamuraPLNMESS15,537
ssdbm/Chen99,538
ssdbm/Stephenson86,539
issac/Brown13,540
iclr/KaiserGC18,541
issac/Villard11,542
ntms/BertolissiF08,543
camad/LundqvistKG17,544
ximep/Grust05,545
mfi/LagerTM17,546
pfe/Clements01a,547
issac/Hoeven97,548
camad/JasmanG15,549
nooj/Pelosi15,550
camad/NunomeF17,551
jcis/LinLW06,552
mfi/LigorioS15,553
issac/MelczerS16,554
jcis/Chang06,555
issac/Pottier96,556
ssdbm/Goldman83,557
w2gis/KwonK04,558
iclr/WebbRTK19,559
iclr/PaiWK17,560
ntms/ColajanniZMM11,561
nsdi/0004NGL14,562
weis/Clayton09,563
nsdi/WalshS06,564
vismath/WischgollS02,565
ntms/ZakerHKS09,566
ssdbm/Bose02,567
nsdi/SinghLKK11,568
nsdi/AgarwalBDEPV09,569
iiswc/BegumWHPC15,570
iclr/NyeS18,571
issac/MehlhornSW13,572
issac/BerthomieuF18,573
nsdi/TilmansBPVV18,574
nsdi/DabekLSRKM04,575
ssdbm/Haas97,576
camad/PyattaevAKM10,577
jcis/MarosticaBC06,578
ssdbm/Cuzzocrea15,579
iclr/Gu0XLS18,580
mfi/SubburamanLCT16,581
iclr/XiaWASK19,582
semwiki/VrandecicK06,583
ssdbm/Haas97,584
issac/AlonsoMR89,585
ntms/PuustinenN11,586
issac/KurataN07,587
mfi/ConroyNG16,588
issac/SeidlS03,589
mfi/HanL08,590
issac/Volcheck93,591
jcis/Oh02,592
issac/Basu97,593
iclr/BenjaminRK19,594
iclr/SerdyukKSTPB18,595
mfi/StucklerB12,596
w2gis/MaervoetBVCB13,597
depcos/Rodwald19,598
ntms/AlzahraniW08,599
mfi/GulatiSZCK17,600
jcis/WuXW06,601
camad/PatricielloLGB18,602
depcos/BerestnevK06,603
ssdbm/PuZ07,604
issac/KhetanSG04,605
jcis/HungHZ06,606
issac/GuidolinDRV19,607
issac/FreireGPF88,608
weis/BrandimarteAV11,609
jcis/DavisK06,610
ntms/CampaRRC11,611
ssdbm/BritoSSO05,612
ntms/ChenCXBRR11,613
depcos/KharchenkoPAA17,614
nsdi/ScottPBNKS16,615
issac/Gruntz93,616
camad/AntonopoulosBKLMNVZ12,617
ntms/FarhatF15,618
jcis/Sung06,619
semwiki/SchiedKW10,620
issac/PericleousV01,621
issac/MagronD18,622
jcis/HsiaoKT06,623
camad/MilasC06,624
issac/Hubert10,625
issac/Reischert97,626
ssdbm/GertrudesZSC18,627
ssdbm/MullerAS09,628
ssdbm/FomkinR09,629
ciise/Perini18,630
weis/AroraFNT06,631
issac/YokoyamaNT90a,632
iclr/MaZH19,633
jcis/ChengSG02,634
nsdi/Khandelwal0S16,635
mfi/HuSZ12,636
jcis/LeeCL02,637
iiswc/InoueN14,638
depcos/HuangYSCTYTKCYWWCT06,639
issac/KarmarkarL96,640
camad/PappasFTAY17,641
mfi/ZhangSHY12,642
iclr/JangGP17,643
w2gis/KimPKP06,644
issac/Raab16,645
camad/MalikSAI19,646
ntms/AijazAW08,647
iclr/WolfBG19,648
jcis/Hakamata02,649
iclr/HjelmFLGBTB19,650
weis/MooreC07,651
issac/SextonS06,652
ssdbm/GurretR00,653
iiswc/LeeCJL0A17,654
issac/Wang81,655
iclr/VillegasYHLL17,656
iclr/MaoGKTW19,657
ssdbm/OlkenRSW86,658
issac/BuiDM15,659
future/AloiaBR92,660
adl/Spiridou00,661
vismath/TeleaO97,662
issac/Roy93,663
issac/HuntMS01,664
iclr/ScieurOdB18,665
iclr/LaurentGBBV18,666
issac/DolehW90,667
vismath/GrossoE97,668
iclr/BelilovskyBKUZ17,669
ssdbm/Malmborg88,670
vismath/DollnerH97,671
issac/Larrieu17,672
issac/KauersS06,673
depcos/Poniszewska-Maranda15,674
nsdi/ChenMMM11,675
mfi/DeshpandeGH10,676
jcis/JangLH06,677
weis/DayGP08,678
issac/DaytonZ05,679
mfi/ReddivariYJLLX14,680
depcos/SobusW16,681
ssdbm/MaLSCC11,682
issac/KlimovRL93,683
w2gis/MullerMV14,684
issac/MenezesOV88,685
ssdbm/ButlerI90,686
issac/Trefethen07,687
ssdbm/Srivastava03,688
depcos/Walkowiak16,689
issac/DickensteinEF13,690
issac/Dumas08,691
iclr/QiST17,692
iclr/JainiCCLMRSTTP17,693
ssdbm/Klein04,694
issac/BayerS86,695
depcos/SwiebodaZ16,696
issac/Sommese18,697
camad/UddinGSKRRI19,698
issac/GianniT97,699
pfe/Krueger01,700
nooj/ReentovichHVKKT15,701
ssdbm/Hou99,702
jcis/SilvaBSK02,703
iclr/HsuIKV19,704
iiswc/BiesbrouckEC07,705
ntms/HakamSSS14,706
ssdbm/WuTSDS09,707
jcis/WarrenBRW02,708
mfi/KurzPH17,709
mfi/BaumFH12,710
ntms/TurkZ19,711
iclr/SeglerPW17,712
ntms/RezvaniSZHD12,713
ssdbm/WeiKLKLR05,714
depcos/BodyanskiyVPPR16,715
fcs/PugseeR05,716
ciise/Garro16,717
weis/ParkS05,718
weis/HallACOT11a,719
ntms/TurkogluCCE14,720
w2gis/BockMS19,721
iclr/KangLB19,722
nsdi/SunXEZ19,723
depcos/FriedrichRW18,724
issac/Kirrinnis92,725
jcis/LinWWC06,726
iclr/MenickK19,727
mfi/WallhoffAR06,728
iclr/HaDL17,729
iclr/YuZX18,730
iclr/ValsesiaFM19,731
weis/RansbothamM11a,732
camad/BoersM16,733
adl/ShepherdWB95,734
issac/Gathen06,735
issac/Maza06,736
ntms/LabiodSSHM16,737
issac/Nocker00,738
ntms/FukushimaGMY18,739
weis/Bisogni15,740
issac/BackelinF91,741
jcis/CarchioloLM02,742
issac/BachS13,743
mfi/ImKAK08,744
ntms/KeXLH15,745
iclr/LiMCRW17a,746
camad/MifdaouiA10,747
iiswc/ChenGSWPNVWSMTD17,748
jcis/SuttonJ02,749
issac/TrenkovSD91,750
iclr/LiuTLNJ19,751
camad/McCarthyS16a,752
issac/KlimovRL93,753
issac/BeaumontBD03,754
depcos/ToporkovYBT16,755
mfi/HongKBCCJPRR08,756
issac/BabaiFS93,757
depcos/Kabashkin16,758
iclr/GlotinRB17,759
issac/KaltofenN11,760
mfi/PengshuaiT14,761
iclr/LaurentGBBV18,762
iclr/GilmerRSRS17,763
issac/Wang91,764
camad/LiangCHT11,765
issac/PetkovsekS93,766
semwiki/SchaffertBBGHS06,767
mfi/Bender0C17,768
iiswc/MazumdarMKCACOS17,769
iclr/CatherineC18,770
depcos/Kuzelewska19,771
nsdi/GaoLZ18,772
issac/Bradford90,773
iclr/ParisottoS18,774
w2gis/FrySTD07,775
nooj/KocijanBM18,776
iiswc/FerreronJR16,777
issac/WuR07,778
jcis/UmamaheswaranHPS02,779
mfi/PavlovGSK08,780
ssdbm/PilalidouV12,781
camad/AsgharHR12,782
ciise/TommasiJA17,783
iiswc/IsmailS18,784
mfi/WangL12a,785
ssdbm/ChenKMS97a,786
mfi/GasiorBGGK16,787
issac/MuldersS98,788
issac/FarzanM06,789
adl/NicaR95,790
ssdbm/QinSFSC15,791
issac/Gall14,792
mfi/Keyrouz15,793
vismath/Wickham-Jones02,794
ntms/MsahliLA19,795
iclr/CaiZH19,796
ssdbm/Tu0YRW13,797
iiswc/PandiyanLW13,798
issac/Sasaki03,799
iclr/LeNLPMVQ19,800
iclr/0001MGKS18,801
mfi/DeVonHS15,802
iclr/DongBJLCSCZ19,803
ntms/CampaRRC11,804
iclr/LiXWRLH19,805
nsdi/WeiZZ17,806
depcos/ToporkovYBT16,807
issac/HartHN11,808
depcos/MaggiPS08,809
camad/VilaSUP18,810
nsdi/LopesBGJV15,811
issac/Trefethen07,812
camad/Law94,813
ssdbm/GolabHKS14,814
iclr/ThickstunHK17,815
issac/Abramov08,816
ntms/Anand08,817
mfi/Ahmed14,818
